runkey,popsize,generations,xo_prob,mut_prob,selection_function,mutation_function,xo_function,elitism,patience,runcount,bestfit,duration_secs
e73cbad8-c014-4503-b1c1-086963b7c5ea,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,2,7852,0.7310242652893066
55f79489-cddf-41a9-8fc0-d5aab447ec93,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,3,8628,0.8620860576629639
64226d31-87c1-40f2-bede-b3ed622efc34,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,4,8560,0.6498618125915527
9303450f-d3e9-4be6-be9a-036a591f1f40,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,1,8624,0.7201616764068604
860f60a3-873f-49e1-a390-92ef9089576f,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,2,8628,0.591712236404419
dfd91016-6a29-49c1-9c25-a5019c1caae9,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,3,8480,0.5676281452178955
2542e665-a8ca-4218-890c-92bffbb4dc54,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,4,8112,0.6396019458770752
952bc8af-a59d-4dba-9d32-60492e6fd18c,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,1,8696,0.35015392303466797
a141cee8-ab19-4784-b7f3-bc3f0d08902d,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,2,8036,0.3968064785003662
e7a7cd39-1223-4711-a40e-10274375d1ef,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,3,8492,0.35165905952453613
68302a8f-bc21-4f21-aa97-2de240080968,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,4,8440,0.3808250427246094
79c5c53b-d425-41b5-ae28-4f6577e76e33,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,8856,2.135324001312256
8f194ad9-5242-4439-8990-294b74ac3dca,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,2,9060,1.9108588695526123
c6bae4be-6d35-4e20-8012-c76d7a398ab2,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,3,8492,2.8620100021362305
c8cbd4f9-a313-4ed0-b17c-a0f5f40300be,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,4,7852,2.698556900024414
bab6d7fb-c61a-4324-88ed-a722c799f836,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,1,8832,1.3826799392700195
4401af7b-e014-4062-a9f2-717dfbbae25c,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,2,7600,1.5080530643463135
daeb630b-3208-4406-a338-88d97071d027,150,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,3,8900,1.5819506645202637
